MedInc,HouseAge,CHAS,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
8.3,41,0,5,1,322,2.6,37.9,-122.2,4.5
8.3,21,0,6.2,1,2401,2.1,37.9,-122.2,3.6
7.3,52,0,8.3,1.1,496,2.8,37.9,-122.2,3.5
5.6,52,1,5.8,1.1,558,2.5,37.9,-122.3,3.4
3.8,52,1,6.3,1.1,565,2.2,37.9,-122.3,3.4
4,52,0,4.8,1.1,565,2.1,37.9,-122.3,2.7
3.7,52,1,4.9,1,1094,2.1,37.8,-122.3,3
3.1,52,1,4.8,1.1,1157,1.8,37.8,-122.3,2.4
2.1,42,0,4.3,1.1,1206,2,37.8,-122.3,2.3
3.7,52,0,5,1,1551,2.2,37.8,-122.3,2.6
3.2,52,1,5.5,1.1,565,2.3,37.9,-122.3,2.8
3.3,52,1,4.8,1,1504,2,37.9,-122.3,2.4
3.1,52,0,5.3,1,1098,2.3,37.9,-122.3,2.1
2.7,52,1,4,1.1,345,2,37.8,-122.3,1.9
1.9,52,0,4.3,1,1212,2,37.9,-122.3,1.6
2.1,50,1,4.2,1.1,697,2.6,37.9,-122.3,1.4
2.8,52,0,5,1,565,2.4,37.9,-122.3,1.5
2.1,52,1,5,1,648,2.1,37.9,-122.3,1.6
2,50,0,5.3,1.1,990,2.4,37.8,-122.3,1.6
2.6,52,0,5.5,1.1,690,2.5,37.8,-122.3,1.6
1.4,40,1,4.5,1.1,565,2.5,37.9,-122.3,1.5
1.7,42,0,5,1,929,2.5,37.9,-122.3,1.6
1.7,52,0,5.1,1.1,1015,2.1,37.8,-122.3,1.1
2.2,52,1,5.2,1,853,2.6,37.8,-122.3,1
2.6,52,0,5.3,1,1006,2.4,37.8,-122.3,1.3
2.4,41,1,4.5,1,317,2.7,37.9,-122.3,1.1
2.5,49,1,4.7,1,607,2.5,37.9,-122.3,0.9
1.8,52,0,4.8,1.1,1102,2.8,37.9,-122.3,1.1
1.6,50,0,4.4,1,1131,2.4,37.8,-122.3,1.1
1.7,52,1,4.7,1,395,2.5,37.8,-122.3,1.3
1.9,49,1,5.1,1.2,863,2.3,37.8,-122.3,1.2
2,52,0,4.9,1.1,1168,2.6,37.8,-122.3,1.2
1.8,48,0,5.7,1.2,1026,3.1,37.8,-122.3,1.1
1.4,49,0,5,1.1,754,2.3,37.8,-122.3,1
2.7,51,0,5,1.1,1258,2.3,37.8,-122.3,1.1
1.5,49,1,4.6,1.1,570,2.2,37.8,-122.3,1
1.1,48,0,4.8,1.2,987,2.6,37.8,-122.3,1
1.4,52,1,3.7,1,901,2.2,37.8,-122.3,1
3.5,52,1,4.8,1.1,689,2.2,37.8,-122.3,1.9
2.6,52,0,3.5,1,1377,2,37.8,-122.3,1.8
2.1,52,1,4.2,1.1,946,2.4,37.8,-122.3,1.6
1.3,51,0,3.8,1.2,517,2.1,37.8,-122.3,1.5
1,49,0,3.8,1.1,462,2.4,37.8,-122.3,1.2
4,52,1,4.8,1,467,2.4,37.8,-122.3,1.9
3,52,1,4.9,1.1,660,2.3,37.8,-122.3,1.8
2.7,52,1,4.3,1.1,718,1.9,37.8,-122.3,1.8
2,50,1,3.7,1.1,616,2,37.8,-122.3,1.4
1.7,43,0,4,1.2,558,2.2,37.8,-122.3,1.4
1,40,1,3.9,1.2,423,2.6,37.8,-122.3,1.9
1.8,40,0,2.7,1.1,700,2,37.8,-122.3,1.1
0.9,21,1,2,1,735,1.7,37.8,-122.3,1.7
1.5,43,1,4.6,1.1,1061,2.6,37.8,-122.3,0.9
1.1,41,0,4.5,1.2,1959,2.7,37.8,-122.3,1
1.2,52,0,4.1,1.1,1162,2.9,37.8,-122.3,1
1.6,52,1,5,1,701,3,37.8,-122.3,0.9
1.4,52,1,4.3,1.1,576,2.6,37.8,-122.3,0.8
1.5,52,0,4.8,1.1,622,2.4,37.8,-122.3,0.9
0.8,52,0,6.1,1.4,728,3,37.8,-122.3,0.9
1.2,52,0,4.6,1.1,1074,3.5,37.8,-122.3,0.8
2.6,2,0,2.8,0.8,94,1.6,37.8,-122.3,0.6
3.4,52,1,6,1.1,554,3,37.8,-122.3,0.8
6.1,49,0,5.9,1.3,86,3.7,37.8,-122.3,0.8
0.9,50,1,6.2,1.6,377,3.1,37.8,-122.3,0.9
1.2,52,1,7.7,1.5,521,3.3,37.8,-122.3,0.8
2.6,48,1,6.2,1.4,392,2.9,37.8,-122.3,0.7
1.2,52,1,5.4,1.1,604,3.2,37.8,-122.3,0.8
0.8,48,1,4.4,1.1,788,2.4,37.8,-122.3,0.8
2.6,52,0,7,1.7,492,3.3,37.8,-122.3,0.8
1.9,52,0,7,1.3,274,3.3,37.8,-122.3,0.9
1,46,1,4.6,1.1,1823,3,37.8,-122.3,1.3
1.8,26,0,6,1.2,392,3.1,37.8,-122.3,0.8
0.7,46,0,3.4,1.1,582,2.1,37.8,-122.3,1
1.8,49,0,5.6,1.3,560,3.7,37.8,-122.3,0.8
0.5,46,1,1.7,0.6,18,2.6,37.8,-122.3,0.7
2.5,20,1,6.3,1.2,290,2.2,37.8,-122.3,1.4
0.9,17,0,2.8,1.1,762,1.7,37.8,-122.3,1.8
2.4,36,0,5.7,1.1,1236,2.4,37.8,-122.3,1
1.1,19,0,5.8,1.2,721,3.5,37.8,-122.3,1.1
0.8,23,1,5.4,1.2,1054,3.2,37.8,-122.3,1.1
